Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Area um^2,Perimeter µm,Max length µm
IL23 left,mPFC,Image,Polygon,3584,2164.3,0,310,51,0,2,11,246,71350.2,1543.4,682.92
IL5 left,mPFC,Image,Polygon,3380.3,2135.6,0,792,208,3,6,18,557,178938.1,1902.7,780.17
PL23 left,mPFC,Image,Polygon,3586,1405.4,0,461,126,0,9,4,322,116324.5,2086.7,953.34
PL5 left,mPFC,Image,Polygon,3336.6,1491.1,0,1129,247,13,7,12,850,265735.5,2271,931.57
PL6 left,mPFC,Image,Polygon,3017,1679.8,0,346,97,6,2,3,238,72161.6,1227.3,479.49
AC23 left,mPFC,Image,Polygon,3520.3,779.39,0,158,28,2,4,4,120,39709.8,NaN,437.66
AC5 left,mPFC,Image,Polygon,3309,1012.2,0,636,106,2,4,7,517,151130.1,1833.1,807.61
AC6 left,mPFC,Image,Polygon,2997.3,1468.7,0,116,27,4,0,0,85,23632.9,1165.1,566.15
IL23 right,mPFC,Image,Polygon,3901.2,2288.1,0,412,38,6,0,3,365,87717.7,1953.3,890.06
IL5 right,mPFC,Image,Polygon,4080.9,2272.9,0,972,193,8,6,11,754,210046.4,2335.3,974.84
IL6 right,mPFC,Image,Polygon,4317.9,2294.9,0,999,158,4,1,3,833,194821.7,2371,1054.2
PL23 right,mPFC,Image,Polygon,3960.6,1378.8,0,382,81,1,4,9,287,95361.6,NaN,1013.9
PL5 right,mPFC,Image,Polygon,4187.9,1525.9,0,1216,308,5,20,15,868,282938.6,2318.2,970.38
PL6 right,mPFC,Image,Polygon,4510.5,1778.2,0,379,82,5,1,3,288,77992,1260.5,498.29
AC23 right,mPFC,Image,Polygon,4104.8,769.24,0,175,39,1,4,2,129,43086.5,1036.4,413.34
AC5 right,mPFC,Image,Polygon,4281.2,1064.5,0,652,149,3,19,11,470,156205.3,1852.6,803.25
AC6 right,mPFC,Image,Polygon,4545.2,1554.2,0,161,32,5,1,2,121,34255.3,NaN,611.53
