Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Annotations,Num Detections,Num A,Num ABC,Num AC,Num C,Num N,Num points,Area um^2,Perimeter µm,Max length µm
IL23 left,mPFC,Image,Polygon,4164.8,2516.2,0,354,67,0,3,3,281,NaN,74267.1,1539.9,692.65
IL5 left,mPFC,Image,Polygon,3993.2,2526.1,0,802,215,2,11,17,557,NaN,155282.9,1834.5,742.44
IL6 left,mPFC,Image,Polygon,3750.5,2526.4,0,966,224,0,2,5,735,NaN,169049,2024.9,818.41
PL23 left,mPFC,Image,Polygon,4154.8,1723.7,0,454,158,0,4,6,286,NaN,114078.6,2172.6,1012.9
PL5 left,mPFC,Image,Polygon,3959.2,1847.5,0,855,327,1,2,7,518,NaN,195378.3,2092.1,899.49
PL6 left,mPFC,Image,Polygon,3668,2037.7,0,537,162,2,2,1,370,NaN,106468.2,1442.9,557.85
AC23 left,mPFC,Image,Polygon,4127.7,1093.5,0,173,56,2,2,3,111,NaN,39759.2,1022,450.17
AC5 left,mPFC,Image,Polygon,3940.5,1358.1,0,491,168,4,5,3,319,NaN,108212.9,1672.9,777.56
AC6 left,mPFC,Image,Polygon,3637.1,1816,0,206,72,0,3,1,130,NaN,41727.2,1349.6,644.17
IL23 right,mPFC,Image,Polygon,4495.7,2501.6,0,273,31,3,0,3,236,61196.8,NaN,648.69,
IL5 right,mPFC,Image,Polygon,4663.6,2507.3,0,720,167,13,9,15,516,153421.1,1764.5,719.13,
PL23 right,mPFC,Image,Polygon,4527,1707.6,0,416,106,0,7,6,297,106813.9,2237,1045.2,
PL5 right,mPFC,Image,Polygon,4717.8,1836.9,0,857,297,4,7,9,540,199430,2179.8,942.75,
PL6 right,mPFC,Image,Polygon,4999.5,2047,0,456,157,6,4,0,289,99081.6,1414.6,559.49,
AC23 right,mPFC,Image,Polygon,4558.8,1084.4,0,140,33,1,2,5,99,34525.1,969.35,398.8,
AC5 right,mPFC,Image,Polygon,4734.3,1354.7,0,496,175,6,7,3,305,109343.4,1642.8,736.86,
AC6 right,mPFC,Image,Polygon,5044.4,1845.4,0,192,63,4,0,0,125,41847.7,1354.9,651.7,
