"WT48 mPFC->BLA"
"
"
"Recall:"
"Extinction:","14031","14032","14033","14034","14035","14036"
"Control:","14025","14026","14027","14028","14029","14030"

 BLA chance ratio 
,14031,14032,14033,14034,14035,14036,14025,14026,14027,14028,14029,14030
IL,1.6452480741029998,2.278511890903837,2.087560436197453,2.3071874623949187,2.4639815045753783,2.482535406006725,1.9339907007150714,1.7967705974517951,1.6916169102306093,1.2330659043654613,1.8368806333110754,1.800075427097073
PL,1.6050777195703554,2.2495318252002163,1.8936082575524553,1.9770377827715995,2.0964335417601827,1.8829845467214494,1.7067596799101494,1.7472004648464252,1.983229846756796,1.5512318396642142,1.63012630234808,1.5756164053435913
AC,1.7917634689113562,2.1804663374646402,2.197028210661452,1.9759733077640025,2.012020438028527,2.740419349408392,1.8478722552334388,2.055963458467868,1.9707552166459459,2.0328426711502345,1.5516911071747457,1.8603056950090648

 BLA chance ratio SEM 
,14031,14032,14033,14034,14035,14036,14025,14026,14027,14028,14029,14030
IL,0.0427820272321387,0.12902382536563714,0.055585419588860686,0.07994883789443824,0.10578944332965123,0.14397803409741367,0.100788606114813,0.0673278469955577,0.033951614173579454,0.14150421164152877,0.0581873228017979,0.0678569881543507
PL,0.05546070141010744,0.09548899961430463,0.07969852829274077,0.09164649507879284,0.04071795364901249,0.045526064594216785,0.08141139574594267,0.04782352029980227,0.1423446918706129,0.06853137445195742,0.04022240380289468,0.08943373785920787
AC,0.04448593938094602,0.1298267312432357,0.07610033900351097,0.0758452600535494,0.12301914824250831,0.2746483587859543,0.04279184977280569,0.017184315018279193,0.06969415517255158,0.08669482914799226,0.06599945869101104,0.08676983447492888

 cFos ratio 
,14031,14032,14033,14034,14035,14036,14025,14026,14027,14028,14029,14030
IL,0.24055189062565366,0.13211145381398487,0.15323492264889157,0.15066640762645184,0.1094936407899604,0.10335090348267244,0.235227199818187,0.22152183301765108,0.20057429830480517,0.18646363944601135,0.24628497218927078,0.16330561211732847
PL,0.2825876146421166,0.16430899178261865,0.1672483855500559,0.16544612468504674,0.1533667755033987,0.09595694673021249,0.24224578221091575,0.25750460351101667,0.18573507244290344,0.2675640798136031,0.3050149701958312,0.219986659138321
AC,0.29656855909449353,0.18157774994130962,0.1294363915216922,0.09450729466952128,0.17338974638870858,0.08782895485951538,0.23288101316993257,0.23804947630094914,0.15243491711955132,0.251415020417335,0.29944960241775287,0.1683599059058618

 cFos ratio SEM 
,14031,14032,14033,14034,14035,14036,14025,14026,14027,14028,14029,14030
IL,0.004054027170080031,0.002248158690252643,0.0035323214733687146,0.0037091068655828326,0.004643434478488317,0.0007350118596411156,0.004187730528888384,0.004270768566490824,0.004645885186416684,0.007431755560359277,0.00446370340430487,0.004576330692581786
PL,0.009324850011256988,0.002381901454864794,0.002623166462823015,0.004406993646569975,0.002452954290114424,0.00191826103528984,0.008145614280404643,0.002445822591247232,0.00947414772825727,0.010698990491795396,0.004844275041610927,0.01128699669326997
AC,0.0072593708354701265,0.007364391298764808,0.0030198378457361066,0.004276108171754344,0.0014111177384134464,0.0026095161343232236,0.005333180533106991,0.008246449540845186,0.008803598714887412,0.006247923414194818,0.005476832402817048,0.010647728057274087

 BLA_cFos/BLA (doublepos) ratio 
,14031,14032,14033,14034,14035,14036,14025,14026,14027,14028,14029,14030
IL,0.3949560561646844,0.3041478786636606,0.32090716763984095,0.3460330428386452,0.26813489139207636,0.2568392255892256,0.4608452076482767,0.4016705261650115,0.34081463916430316,0.24139965226030796,0.45445851962245404,0.28970723195509296
PL,0.4503989421467174,0.3667322437449556,0.3157106227106227,0.3241242937853107,0.3200330803338892,0.18108324890239783,0.411835815407244,0.45043320751047,0.3642663043478261,0.4160677187029311,0.4966540234156426,0.3613666519239275
AC,0.5292892156862745,0.3845543284881521,0.28361081747709654,0.18745143745143744,0.3513261360369646,0.23535788923719958,0.42962962962962964,0.49069376250227315,0.29907583650571024,0.5083454366566716,0.46973374295954945,0.3228084415584416

 BLA_cFos/BLA (doublepos) SEM 
,14031,14032,14033,14034,14035,14036,14025,14026,14027,14028,14029,14030
IL,0.010084419462179714,0.02190703356310107,0.01282231098257923,0.012439627823538326,0.014095369727871924,0.015469363621344438,0.031838737068721035,0.02127984157534698,0.013409445501332051,0.02978272435087642,0.018696945596806628,0.005362221038164548
PL,0.015658961890192617,0.012321787831364131,0.012290597422548385,0.013441898275810512,0.0025983330210577397,0.006583775510660101,0.02288339004501538,0.01429874896951613,0.024913894834443596,0.02583715771811692,0.012935005589379194,0.03909386239473802
AC,0.013558257459420384,0.014504883939223225,0.011025866994868282,0.012416474087899197,0.023922854422343515,0.02112977476524412,0.012821820969367863,0.019748116791885068,0.02029920701540384,0.020101542019701466,0.027414420611192977,0.03017960873176627
