-110	23														
-120	Animal	Exp	Trial	Date	Time	Phase	Fre No. Phase	Fre No. Part	Time from [s]	Time to [s]	Dur. [s]	Part No. Start	Part No. End	Name Start	Name End
-130	3	3	3	1	1	3	3	3	2	2	2	3	3	1	1
-900	10005	1	1	06.06.2018	13:26	1	1	1	0,00	2,16	2,16	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	2	2	2,68	3,69	1,01	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	3	3	4,42	5,69	1,27	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	4	4	5,71	6,44	0,73	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	5	5	7,00	9,34	2,34	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	6	6	9,43	10,62	1,19	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	7	7	11,03	11,96	0,93	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	8	8	11,99	17,88	5,89	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	9	9	18,24	19,92	1,68	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	10	10	20,69	21,54	0,85	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	11	11	22,09	22,82	0,73	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	12	12	23,36	24,58	1,22	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	13	13	25,49	28,89	3,40	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	14	14	29,47	30,36	0,89	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	15	15	30,47	32,94	2,47	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	16	16	33,06	35,19	2,13	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	17	17	35,89	37,66	1,77	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	18	18	37,95	38,85	0,90	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	19	19	39,03	43,59	4,56	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	20	20	43,66	44,32	0,66	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	21	21	44,36	44,90	0,54	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	22	22	45,06	45,65	0,59	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	23	23	45,68	46,22	0,54	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	24	24	46,24	46,83	0,59	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	25	25	46,83	48,57	1,74	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	26	26	48,58	49,66	1,08	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	27	27	49,98	50,77	0,79	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	28	28	51,09	59,61	8,52	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	29	29	59,97	60,52	0,55	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	30	30	61,74	66,47	4,73	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	31	31	66,56	67,09	0,53	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	32	32	68,18	69,47	1,29	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	33	33	70,26	74,66	4,40	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	34	34	74,68	77,15	2,47	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	35	35	77,42	78,05	0,63	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	36	36	78,62	79,85	1,23	1	1	Habituation	Habituation
-900	10005	1	1	06.06.2018	13:26	1	37	37	81,00	82,74	1,74	1	1	Habituation	Habituation
