-110	23														
-120	Animal	Exp	Trial	Date	Time	Phase	Fre No. Phase	Fre No. Part	Time from [s]	Time to [s]	Dur. [s]	Part No. Start	Part No. End	Name Start	Name End
-130	3	3	3	1	1	3	3	3	2	2	2	3	3	1	1
-900	10005	1	1	05.07.2018	14:18	1	1	1	0,00	110,80	110,80	1	1	Habituation	Habituation
-900	10005	1	1	05.07.2018	14:18	1	2	2	110,82	165,23	54,41	1	1	Habituation	Habituation
-900	10005	1	1	05.07.2018	14:18	1	3	3	165,25	167,21	1,96	1	1	Habituation	Habituation
-900	10005	1	1	05.07.2018	14:18	1	4	4	167,23	180,00	12,77	1	1	Habituation	Habituation
-900	10005	1	1	05.07.2018	14:22	2	1	1	0,00	3,46	3,46	1	1	Habituation	Habituation
-900	10005	1	1	05.07.2018	14:22	2	2	2	3,80	34,86	31,06	1	1	Habituation	Habituation
-900	10005	1	1	05.07.2018	14:22	2	3	3	35,27	36,14	0,87	1	1	Habituation	Habituation
-900	10005	1	1	05.07.2018	14:22	2	4	4	36,48	37,08	0,60	1	1	Habituation	Habituation
-900	10005	1	1	05.07.2018	14:22	2	5	5	37,46	37,99	0,53	1	1	Habituation	Habituation
-900	10005	1	1	05.07.2018	14:22	2	6	6	39,09	39,96	0,87	1	1	Habituation	Habituation
-900	10005	1	1	05.07.2018	14:22	2	7	7	44,05	44,89	0,84	1	1	Habituation	Habituation
-900	10005	1	1	05.07.2018	14:22	2	8	8	52,53	53,08	0,55	1	1	Habituation	Habituation
-900	10005	1	1	05.07.2018	14:22	2	9	9	57,88	58,88	1,00	1	1	Habituation	Habituation
-900	10005	1	1	05.07.2018	14:22	2	10	10	82,79	83,43	0,64	1	1	Habituation	Habituation
-900	10005	1	1	05.07.2018	14:22	2	11	11	87,25	87,78	0,53	1	1	Habituation	Habituation
-900	10005	1	1	05.07.2018	14:22	2	12	12	98,80	99,42	0,62	1	1	Habituation	Habituation
-900	10005	1	1	05.07.2018	14:22	2	13	13	108,59	109,23	0,64	1	1	Habituation	Habituation
-900	10005	1	1	05.07.2018	14:22	2	14	14	117,28	117,86	0,58	1	1	Habituation	Habituation
