-110	23														
-120	Animal	Exp	Trial	Date	Time	Phase	Fre No. Phase	Fre No. Part	Time from [s]	Time to [s]	Dur. [s]	Part No. Start	Part No. End	Name Start	Name End
-130	3	3	3	1	1	3	3	3	2	2	2	3	3	1	1
-900	10005	1	1	06.07.2018	14:08	1	1	1	0,00	13,76	13,76	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:08	1	2	2	13,76	15,39	1,63	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:08	1	3	3	15,39	37,02	21,63	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:08	1	4	4	37,02	38,81	1,79	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:08	1	5	5	38,81	40,05	1,24	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:08	1	6	6	40,58	41,98	1,40	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:08	1	7	7	43,50	45,31	1,81	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:08	1	8	8	45,33	54,80	9,47	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:08	1	9	9	54,89	57,18	2,29	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:08	1	10	10	57,32	60,19	2,87	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:08	1	11	11	60,19	61,57	1,38	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:08	1	12	12	61,70	68,70	7,00	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:08	1	13	13	68,70	69,32	0,62	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:08	1	14	14	69,32	71,67	2,35	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:08	1	15	15	71,70	175,46	103,76	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:08	1	16	16	175,46	178,94	3,48	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:08	1	17	17	178,94	180,00	1,06	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	1	1	0,00	3,51	3,51	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	2	2	3,51	4,26	0,75	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	3	3	4,28	4,95	0,67	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	4	4	4,95	5,61	0,66	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	5	5	6,07	6,98	0,91	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	6	6	7,06	10,56	3,50	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	7	7	10,56	11,43	0,87	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	8	8	11,56	13,74	2,18	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	9	9	14,10	16,08	1,98	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	10	10	16,08	22,25	6,17	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	11	11	23,15	29,08	5,93	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	12	12	29,08	32,14	3,06	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	13	13	32,65	33,22	0,57	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	14	14	33,66	36,08	2,42	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	15	15	39,81	40,41	0,60	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	16	16	42,13	42,76	0,63	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	17	17	43,23	44,41	1,18	1	1	Habituation	Habituation
-900	10005	1	1	06.07.2018	14:11	2	18	18	49,08	50,30	1,22	1	1	Habituation	Habituation
