"","seconds","X1","X2","X3","X4","average","SE"
"1",-2,-3.592881193578,-0.278716800773198,-0.393804693437291,-7.62145978075834,-2.97171561713671,1.72973588581112
"2",-1.99,-3.48241898711649,-0.411733936671529,-0.313823083725215,-7.7434290389761,-2.98785126162233,1.74754409576366
"3",-1.98,-3.36765048916704,-0.547417634388008,-0.254198669217003,-7.86856364623384,-3.00945760975147,1.76522676263623
"4",-1.97,-3.24969859484387,-0.685454345461065,-0.215660083329899,-7.99576335644233,-3.03664409501929,1.78242110862228
"5",-1.96,-3.12971906042292,-0.82551714713143,-0.198808424529748,-8.12394223019765,-3.06949671557044,1.79878064623058
"6",-1.95,-3.00889164042327,-0.967265382732763,-0.204106874862063,-8.25203997365913,-3.10807596791931,1.81398065219024
"7",-1.94,-2.88841101254202,-1.11034429121927,-0.231871117189848,-8.37903273717377,-3.15241478953123,1.82772309233404
"8",-1.93,-2.76947753240961,-1.2543846328848,-0.282260696865534,-8.50394321945342,-3.20251652040334,1.83974091782413
"9",-1.92,-2.6532878599366,-1.39900231380538,-0.355271473697931,-8.62584994197337,-3.25835289735332,1.84980166883782
"10",-1.91,-2.54102551018523,-1.543798013737,-0.450729303944472,-8.74389556947534,-3.31986209933551,1.85771033245089
"11",-1.9,-2.43385138597032,-1.68835682676783,-0.568285077953429,-8.85729416089726,-3.38694686289721,1.86331140977596
"12",-1.89,-2.33289434958488,-1.83224792829913,-0.70741122558562,-8.96533725419344,-3.45947268941577,1.86649015725016
"13",-1.88,-2.2392419007657,-1.97502428715129,-0.867399796164313,-9.06739870823203,-3.53726617307833,1.86717297557473
"14",-1.87,-2.15393103043736,-2.11622244856988,-1.04736220910471,-9.1629382435471,-3.62011348291476,1.86532693003813
"15",-1.86,-2.07793931956878,-2.25536241781641,-1.24623075276816,-9.25150365279611,-3.70775903573737,1.86095840249913
"16",-1.85,-2.01217635252674,-2.391947673678,-1.46276189490935,-9.33273166557427,-3.79990439667209,1.85411089102705
"17",-1.84,-1.95747552285061,-2.52546533847516,-1.69554144439462,-9.40634746935952,-3.89620744376998,1.84486199399915
"18",-1.83,-1.91458631513423,-2.65538653311331,-1.94299157593118,-9.47216291029266,-3.99628183361784,1.83331964131522
"19",-1.82,-1.88416714349355,-2.78116695080514,-2.20337971063371,-9.53007341816812,-4.09969680577513,1.81961766452569
"20",-1.81,-1.86677882188363,-2.90224768771598,-2.47482922503822,-9.58005373066514,-4.20597736632574,1.80391083394853
"21",-1.8,-1.86287873329291,-3.01805636462566,-2.75533193882312,-9.62215250936269,-4.31460488652609,1.78636952817268
"22",-1.79,-1.87281576972374,-3.12800857262754,-3.04276230624224,-9.65648594797237,-4.42501814914147,1.76717423618678
"23",-1.78,-1.89682611869897,-3.23150968006686,-3.33489321464814,-9.68323049579156,-4.53661487730138,1.74651012843874
"24",-1.77,-1.93502996932456,-3.32795703075459,-3.62941327168086,-9.70261484232464,-4.64875377852116,1.72456196570379
"25",-1.76,-1.98742920140225,-3.41674255331091,-3.92394544300633,-9.71491131498672,-4.76075712817655,1.70150963534356
"26",-1.75,-2.0539061083836,-3.49725579556347,-4.21606688216213,-9.7204268398127,-4.87191390648048,1.67752461124623
"27",-1.74,-2.13422319680745,-3.56888739877057,-4.50332977352434,-9.71949362427353,-4.98148349834397,1.65276762591332
"28",-1.73,-2.22802409080396,-3.6310330221923,-4.7832829903223,-9.71245973552231,-5.08869995971022,1.62738781787674
"29",-1.72,-2.33483556256783,-3.68309771309477,-5.0534943468142,-9.69967974916919,-5.1927768429115,1.60152356775899
"30",-1.71,-2.45407070281084,-3.72450070493759,-5.31157321026172,-9.68150563874401,-5.29291256418854,1.57530516270916
"31",-1.7,-2.58503323404938,-3.75468062012183,-5.55519323305287,-9.65827807108934,-5.38829628957835,1.54885933615043
"32",-1.69,-2.72692295372194,-3.77310104339198,-5.78211496196933,-9.63031826504126,-5.47811430603113,1.52231562098739
"33",-1.68,-2.87884227942262,-3.77925642255117,-5.9902080766172,-9.59792056493538,-5.56155683588159,1.49581433212258
"34",-1.67,-3.03980385827744,-3.77267824297542,-6.17747300151958,-9.5613458652111,-5.63782524199589,1.46951585631026
"35",-1.66,-3.20873918653227,-3.75294141362697,-6.34206163614859,-9.52081600348855,-5.70613955994909,1.4436107762549
"36",-1.65,-3.38450816759268,-3.71967078038559,-6.48229695321667,-9.47650922846651,-5.76574628241536,1.41833019266503
"37",-1.64,-3.5659095250498,-3.67254767489191,-6.59669122113884,-9.42855682855781,-5.81592631240959,1.39395542181462
"38",-1.63,-3.75169197851929,-3.61131640955557,-6.68396261361658,-9.37704098117532,-5.85600299571669,1.37082603902129
"39",-1.62,-3.94056607618076,-3.53579061802392,-6.74304999055116,-9.32199386125975,-5.8853501365039,1.34934502947119
"40",-1.61,-4.13121656675873,-3.44585933819155,-6.77312565647492,-9.26339803622628,-5.90339989941287,1.32997962849286
"41",-1.6,-4.32231518230697,-3.34149272873431,-6.77360592074545,-9.20118815069516,-5.90965049562047,1.31325634790925
"42",-1.59,-4.51253369639465,-3.22274730318639,-6.74415930398112,-9.13525387747679,-5.90367354525974,1.29974880101001
"43",-1.58,-4.70055711845547,-3.08977056529238,-6.68471225717108,-9.06544408538509,-5.885121006576,1.29005738723314
"44",-1.57,-4.88509687752197,-2.94280492991472,-6.595452292573,-8.99157215040337,-5.85373156260327,1.28478079225441
"45",-1.56,-5.06490384471104,-2.78219081860109,-6.47682845984468,-8.91342232240699,-5.80933636139095,1.28448061046732
"46",-1.55,-5.23878104329582,-2.60836882937775,-6.32954913178897,-8.83075704024147,-5.751864011176,1.28964201986841
"47",-1.54,-5.40559589363341,-2.42188088982974,-6.15457709267059,-8.74332506783022,-5.68134473599099,1.30063492201798
