"seconds","M_10005","average","SE"
-2,-4.88341954329551,-4.88341954329551,NA
-1.99,-4.90536246494596,-4.90536246494596,NA
-1.98,-4.92839833434837,-4.92839833434837,NA
-1.97,-4.95243938270743,-4.95243938270743,NA
-1.96,-4.97739424588903,-4.97739424588903,NA
-1.95,-5.00316938611689,-5.00316938611689,NA
-1.94,-5.02967045683162,-5.02967045683162,NA
-1.93,-5.05680358984529,-5.05680358984529,NA
-1.92,-5.08447658632925,-5.08447658632925,NA
-1.91,-5.11259999623444,-5.11259999623444,NA
-1.9,-5.14108807177603,-5.14108807177603,NA
-1.89,-5.16985958321824,-5.16985958321824,NA
-1.88,-5.19883848889888,-5.19883848889888,NA
-1.87,-5.2279544534336,-5.2279544534336,NA
-1.86,-5.2571432129044,-5.2571432129044,NA
-1.85,-5.28634678849489,-5.28634678849489,NA
-1.84,-5.31551354899559,-5.31551354899559,NA
-1.83,-5.34459812591357,-5.34459812591357,NA
-1.82,-5.3735611885539,-5.3735611885539,NA
-1.81,-5.40236908792317,-5.40236908792317,NA
-1.8,-5.43099337936379,-5.43099337936379,NA
-1.79,-5.45941023711809,-5.45941023711809,NA
-1.78,-5.48759977650548,-5.48759977650548,NA
-1.77,-5.51554530062948,-5.51554530062948,NA
-1.76,-5.54323248883135,-5.54323248883135,NA
-1.75,-5.57064854504855,-5.57064854504855,NA
-1.74,-5.59778132332215,-5.59778132332215,NA
-1.73,-5.62461844645744,-5.62461844645744,NA
-1.72,-5.65114643525179,-5.65114643525179,NA
-1.71,-5.67734986491755,-5.67734986491755,NA
-1.7,-5.70321056534602,-5.70321056534602,NA
-1.69,-5.72870688107259,-5.72870688107259,NA
-1.68,-5.75381300491018,-5.75381300491018,NA
-1.67,-5.77849839839148,-5.77849839839148,NA
-1.66,-5.80272730960652,-5.80272730960652,NA
-1.65,-5.82645839966998,-5.82645839966998,NA
-1.64,-5.84964448891356,-5.84964448891356,NA
-1.63,-5.87223242833737,-5.87223242833737,NA
-1.62,-5.89416310022566,-5.89416310022566,NA
-1.61,-5.91537155137881,-5.91537155137881,NA
-1.6,-5.93578725939534,-5.93578725939534,NA
-1.59,-5.95533453026818,-5.95533453026818,NA
-1.58,-5.97393302288013,-5.97393302288013,NA
-1.57,-5.99149839590016,-5.99149839590016,NA
-1.56,-6.00794307219334,-6.00794307219334,NA
-1.55,-6.02317711181856,-6.02317711181856,NA
-1.54,-6.0371091837544,-6.0371091837544,NA
-1.53,-6.04964762588285,-6.04964762588285,NA
-1.52,-6.06070157959422,-6.06070157959422,NA
-1.51,-6.07018218379824,-6.07018218379824,NA
-1.5,-6.07800381403965,-6.07800381403965,NA
-1.49,-6.08408535284828,-6.08408535284828,NA
-1.48,-6.08835147649398,-6.08835147649398,NA
-1.47,-6.09073394182273,-6.09073394182273,NA
-1.46,-6.09117285585965,-6.09117285585965,NA
-1.45,-6.08961790915532,-6.08961790915532,NA
-1.44,-6.08602955531687,-6.08602955531687,NA
-1.43,-6.08038012084066,-6.08038012084066,NA
-1.42,-6.07265482887163,-6.07265482887163,NA
-1.41,-6.06285272101297,-6.06285272101297,NA
-1.4,-6.05098746245385,-6.05098746245385,NA
-1.39,-6.03708801803161,-6.03708801803161,NA
-1.38,-6.0211991872946,-6.0211991872946,NA
-1.37,-6.00338198658874,-6.00338198658874,NA
-1.36,-5.98371386791378,-5.98371386791378,NA
-1.35,-5.96228876553956,-5.96228876553956,NA
-1.34,-5.93921696367147,-5.93921696367147,NA
-1.33,-5.9146247819115,-5.9146247819115,NA
-1.32,-5.88865407622322,-5.88865407622322,NA
-1.31,-5.86146155452934,-5.86146155452934,NA
-1.3,-5.83321790676385,-5.83321790676385,NA
-1.29,-5.80410675243529,-5.80410675243529,NA
-1.28,-5.77432341267108,-5.77432341267108,NA
-1.27,-5.74407351407556,-5.74407351407556,NA
-1.26,-5.71357143384746,-5.71357143384746,NA
-1.25,-5.68303859895698,-5.68303859895698,NA
-1.24,-5.65270165452211,-5.65270165452211,NA
-1.23,-5.62279051726321,-5.62279051726321,NA
-1.22,-5.59353633108912,-5.59353633108912,NA
-1.21,-5.56516934561856,-5.56516934561856,NA
-1.2,-5.53791674064867,-5.53791674064867,NA
-1.19,-5.51200041777148,-5.51200041777148,NA
-1.18,-5.48763478140154,-5.48763478140154,NA
-1.17,-5.46502453291921,-5.46502453291921,NA
-1.16,-5.44436250395082,-5.44436250395082,NA
-1.15,-5.42582755639814,-5.42582755639814,NA
-1.14,-5.40958257481382,-5.40958257481382,NA
-1.13,-5.39577257578651,-5.39577257578651,NA
-1.12,-5.3845229591371,-5.3845229591371,NA
-1.11,-5.37593792524534,-5.37593792524534,NA
-1.1,-5.37009908160623,-5.37009908160623,NA
-1.09,-5.36706426050932,-5.36706426050932,NA
