"seconds","M_10005","M_10006","average","SE"
-2,0.245324623551337,-2.97171561713671,-1.36319549679269,1.60852012034402
-1.99,0.307577878923956,-2.98785126162233,-1.34013669134919,1.64771457027314
-1.98,0.36511383568151,-3.00945760975147,-1.32217188703498,1.68728572271649
-1.97,0.41739911112936,-3.03664409501929,-1.30962249194497,1.72702160307433
-1.96,0.463939545481254,-3.06949671557044,-1.30277858504459,1.76671813052585
-1.95,0.504287544668329,-3.10807596791931,-1.30189421162549,1.80618175629382
-1.94,0.538048940019064,-3.15241478953123,-1.30718292475608,1.84523186477515
-1.93,0.564889258360923,-3.20251652040334,-1.31881363102121,1.88370288938213
-1.92,0.584539301031805,-3.25835289735332,-1.33690679816076,1.92144609919256
-1.91,0.596799938133915,-3.31986209933551,-1.3615310806008,1.95833101873471
-1.9,0.601546037120833,-3.38694686289721,-1.39270041288819,1.99424645000902
-1.89,0.598729457759075,-3.45947268941577,-1.43037161582835,2.02910107358742
-1.88,0.588381056799233,-3.53726617307833,-1.47444255813955,2.06282361493878
-1.87,0.570611660330912,-3.62011348291476,-1.52475091129193,2.09536257162284
-1.86,0.545611978217464,-3.70775903573737,-1.58107352875995,2.12668550697741
-1.85,0.513651450291628,-3.79990439667209,-1.64312647319023,2.15677792348186
-1.84,0.475076025834819,-3.89620744376998,-1.71056570896758,2.1856417348024
-1.83,0.430304892807879,-3.99628183361784,-1.78298847040498,2.21329336321286
-1.82,0.379826192850404,-4.09969680577513,-1.85993530646236,2.23976149931277
-1.81,0.324191773697629,-4.20597736632574,-1.94089279631406,2.26508457001169
-1.8,0.264011042047769,-4.31460488652609,-2.02529692223916,2.28930796428693
-1.79,0.19994399470077,-4.42501814914147,-2.11253707722035,2.31248107192112
-1.78,0.132693519585371,-4.53661487730138,-2.20196067885801,2.33465419844338
-1.77,0.0629970697875804,-4.64875377852116,-2.29287835436679,2.35587542415437
-1.76,-0.00838217527759807,-4.76075712817655,-2.38456965172708,2.37618747644948
-1.75,-0.0806645424083585,-4.87191390648048,-2.47628922444442,2.39562468203606
-1.74,-0.153063368579863,-4.98148349834397,-2.56727343346192,2.41421006488205
-1.73,-0.224794648689988,-5.08869995971022,-2.6567473042001,2.43195265551011
-1.72,-0.29508669408818,-5.1927768429115,-2.74393176849984,2.44884507441166
-1.71,-0.363189665489151,-5.29291256418854,-2.82805111483885,2.4648614493497
-1.7,-0.428384843332183,-5.38829628957835,-2.90834056645527,2.47995572312309
-1.69,-0.489993503498425,-5.47811430603113,-2.98405390476478,2.49406040126635
-1.68,-0.547385276253873,-5.56155683588159,-3.05447105606773,2.50708577981386
-1.67,-0.59998587286557,-5.63782524199589,-3.11890555743073,2.51891968456516
-1.66,-0.647284072466996,-5.70613955994909,-3.17671181620804,2.52942774374105
-1.65,-0.688837872411147,-5.76574628241536,-3.22729207741326,2.53845420500211
-1.64,-0.724279715659646,-5.81592631240959,-3.27010301403462,2.54582329837497
-1.63,-0.753320723445026,-5.85600299571669,-3.30466185958086,2.55134113613583
-1.62,-0.775753875366871,-5.8853501365039,-3.33055200593538,2.55479813056851
-1.61,-0.79145609277802,-5.90339989941287,-3.34742799609545,2.55597190331743
-1.6,-0.800389197773057,-5.90965049562047,-3.35501984669676,2.55463064892371
-1.59,-0.802599737092987,-5.90367354525974,-3.35313664117636,2.55053690408338
-1.58,-0.798217676407807,-5.885121006576,-3.34166934149191,2.5434516650841
-1.57,-0.787453985782249,-5.85373156260327,-3.32059277419276,2.53313878841051
-1.56,-0.770597154197022,-5.80933636139095,-3.28996675779399,2.51936960359696
-1.55,-0.748008685729756,-5.751864011176,-3.24993634845288,2.50192766272312
-1.54,-0.720117645944966,-5.68134473599099,-3.20073119096798,2.48061354502301
-1.53,-0.687414339816489,-5.59791360485888,-3.14266397233768,2.45524963252119
-1.52,-0.650443213165303,-5.50181275728911,-3.0761279852272,2.4256847720619
-1.51,-0.609795083210842,-5.39339255907802,-3.00159382114443,2.39179873793359
-1.5,-0.566098813427974,-5.27311163633863,-2.9196052248833,2.35350641145533
-1.49,-0.520012553096245,-5.14153574879223,-2.83077415094424,2.31076159784799
-1.48,-0.472214664867614,-4.99933547744359,-2.7357750711556,2.26356040628799
-1.47,-0.423394469445989,-4.8472827162342,-2.63533859284009,2.2119441233941
-1.46,-0.374242939462412,-4.68624597303748,-2.53024445624995,2.15600151678753
-1.45,-0.325443476423615,-4.51718450527146,-2.42131399084754,2.09587051442392
-1.44,-0.277662903273731,-4.34114133220483,-2.30940211773928,2.03173921446555
-1.43,-0.231542797818781,-4.15923517990955,-2.19538898886417,1.96384619104539
-1.42,-0.187691285478489,-3.97265142974646,-2.08017135761247,1.89248007213398
-1.41,-0.146675402973624,-3.7826321570934,-1.96465378003351,1.81797837705989
-1.4,-0.109014135307311,-3.5904653655602,-1.84973975043375,1.74072561512644
-1.39,-0.0751722168494512,-3.39747353826243,-1.73632287755594,1.66115066070649
-1.38,-0.0455547749507246,-3.2050016360923,-1.62527820552151,1.57972343057079
-1.37,-0.0205028831423285,-3.0144046798532,-1.51745378149776,1.49695089835543
-1.36,-0.000290079714183156,-2.82703506158494,-1.41366257064956,1.41337249093538
-1.35,0.0148801111313471,-2.64422973673637,-1.31467481280251,1.32955492393386
-1.34,0.0248756334292321,-2.46729745359099,-1.22121091008088,1.24608654351011
-1.33,0.0296363213333594,-2.29750617835824,-1.13393492851244,1.1635712498458
-1.32,0.0291732968492084,-2.13607087340227,-1.05344878827653,1.08262208512574
